成語,解釋,例句,字義,近義詞,反義詞,
水洩不通,連水都流不出去。形容十分擁擠或包圍得非常嚴密。,,洩：排出。,,,
門庭若市,門口和庭院裡熱鬧得像市場一樣。形容交際往來的人很多。,,,,,
絡繹不絕,形容人、馬、車、船來來往往，連接不斷。,,絡繹：往來不斷，前後相連。,,,
盛況空前,盛大而熱烈的情景或場面，前所未有。,,,,,
熙熙攘攘,形容人來人往，非常熱鬧。,,,,,
人山人海,人群如山似海一般。形容聚集的人很多。,週末，公園裡人山人海。,,,,
躍躍欲試,形容急切的想要嘗試。,安安躍躍欲試，想要撈些蝌蚪回家。,,,,
笨手笨腳,形容動作不靈活，或手腳不靈巧。,安安笨手笨腳，不但沒撈到蝌蚪，還一頭掉進池塘裡。,,,,
因禍得福,因遭遇不幸反而得到好處。指因某種原因，壞事變成了好事。,安安跌進池塘變成落湯雞，卻因禍得福「撈」到了小蝌蚪。,,,,
呼風喚雨,原指神仙或道士施展法術，召喚風雨。形容人的能力神通廣大，連自然現象都能操縱。,藉由現代科技和AI的發展，能夠輕鬆讓電影主角擁有呼風喚雨的超能力。,,,,
騰雲駕霧,乘著雲霧在天空飛行。形容行走速度極快。,高鐵的時速最高可達到每小時三百公里以上。望著窗外飛逝而過的景色，彷彿自己正在騰雲駕霧一般。,,,不疾不徐,
廬山真面目,比喻人事物的真面目或真相。,如果你認為他不易接近，其實是你不識廬山真面目，事實上他很平易近人。,,,改頭換面,
隨遇而安,能適應各種環境，在任何環境中都能感到滿足。,小帆自小吃過不少苦，養成了堅毅的個性。不論外界環境如何變化，都能隨遇而安。,,,憤世嫉俗,
歡天喜地,形容非常歡喜高興。,農曆春節期間，大街小巷都洋溢著歡天喜地的氣氛。,,,,
忿忿不平,非常氣憤，心中不服。,籃球比賽中，裁判並沒有公平判斷兩隊的表現，讓球迷忿忿不平，紛紛表達抗議。,忿忿：很生氣的樣子。,,,
茹毛飲血,指原始人不會用火，直接生吃連著毛皮和血肉的鳥獸。,有位聖人發現了生火的方法，讓人們不再過著茹毛飲血的生活，後人便尊稱他為燧人氏。,茹：吃、吞咽。,,,
上天入地,飛上天空，鑽入地下。形容神通廣大。,自從弟弟讀了《西遊記》之後，能夠上天入地的孫悟空就成為他的偶像。,,,,
神機妙算,驚人的機智，巧妙的謀略。形容有先見之明，善於預估客觀情勢來決定策略。,我最喜歡《三國演義》中神機妙算的諸葛亮。,,,束手無策,
